country,total_churches,with_website,pct_website,with_cms_detected,pct_cms_detected,with_facebook,pct_facebook,with_youtube,pct_youtube,with_livestream,pct_livestream
Spain,2764,907,32.8,907,32.8,502,18.2,549,19.9,210,7.6
France,2611,1697,65,1674,64.1,691,26.5,604,23.1,181,6.9
Germany,2513,2191,87.2,2190,87.1,833,33.1,1001,39.8,517,20.6
United Kingdom,1567,1496,95.5,1496,95.5,1309,83.5,1117,71.3,303,19.3
Sweden,1034,885,85.6,850,82.2,514,49.7,270,26.1,98,9.5
Italy,1002,98,9.8,98,9.8,72,7.2,60,6,22,2.2
Norway,406,263,64.8,262,64.5,174,42.9,62,15.3,2,0.5
Switzerland,310,307,99,307,99,127,41,156,50.3,71,22.9
Denmark,79,78,98.7,78,98.7,65,82.3,29,36.7,1,1.3
Netherlands,69,64,92.8,64,92.8,58,84.1,54,78.3,29,42
Finland,54,52,96.3,52,96.3,36,66.7,31,57.4,6,11.1
Poland,39,37,94.9,37,94.9,32,82.1,25,64.1,13,33.3
Ireland,34,32,94.1,32,94.1,20,58.8,18,52.9,3,8.8
Belgium,34,29,85.3,29,85.3,25,73.5,20,58.8,8,23.5
Austria,25,25,100,25,100,20,80,17,68,7,28
Greece,25,21,84,21,84,18,72,13,52,1,4
Czech Republic,21,20,95.2,20,95.2,18,85.7,15,71.4,6,28.6
Hungary,21,17,81,17,81,10,47.6,10,47.6,4,19
Portugal,16,14,87.5,14,87.5,12,75,4,25,5,31.3
